IDs         length   Exptl.  resolution  R-factor FreeRvalue
5OWUA       861      XRAY        2.000    0.18    0.22
3H6JA       438      XRAY        1.600    0.17    0.19
2P5VA       162      XRAY        1.990    0.18    0.24
1NLFA       279      XRAY        1.950    0.24    0.24
4KL0A       379      XRAY        1.600    0.20    0.23
4L9EA       139      XRAY        1.650    0.20    0.22
1SQSA       242      XRAY        1.500    0.20    0.22
1X9MA       698      XRAY        2.100    0.21    0.24
5MKCA       232      XRAY        2.040    0.21    0.24
3IGQA       201      XRAY        2.300    0.21    0.26
1VHZA       198      XRAY        2.320    0.18    0.25
3FP3A       537      XRAY        1.980    0.19    0.23
2FSDA       142      XRAY        2.300    0.24    0.27
3RKOA       147      XRAY        3.000    0.23    0.28
3CJEA       167      XRAY        1.700    0.14    0.16
6EOZA       308      XRAY        1.550    0.13    0.16
1WWMA       190      XRAY        2.610    0.23    0.28
5AOXB        94      XRAY        2.040    0.19    0.22
2G2CA       167      XRAY        1.500    0.17    0.20
3N0AA       361      XRAY        2.200    0.17    0.20
3FWBB        55      XRAY        2.500    0.19    0.23
1IFRA       121      XRAY        1.400    0.22    1.00
3CWXA       176      XRAY        2.300    0.24    0.29
5CL8A       241      XRAY        1.380    0.13    0.16
4EAEA       190      XRAY        1.320    0.16    0.18
1WDJA       187      XRAY        2.000    0.19    0.24
5C2UA       143      XRAY        1.550    0.18    0.20
3MDUA       453      XRAY        1.400    0.18    0.19
4RMMA       154      XRAY        2.200    0.24    0.28
4JZZA       376      XRAY        1.490    0.17    0.19
3A0OA       776      XRAY        2.110    0.18    0.22
4GNEA       107      XRAY        1.470    0.15    0.18
4YS0A       824      XRAY        1.900    0.18    0.23
4PDCE       150      XRAY        1.990    0.17    0.21
1H3OA        75      XRAY        2.300    0.23    0.27
5TT6A       394      XRAY        2.190    0.20    0.26
2IP1A       432      XRAY        1.800    0.18    0.21
3FNCA       163      XRAY        1.750    0.17    0.20
4ANOA       219      XRAY        1.700    0.21    0.25
4WH9A       183      XRAY        1.500    0.13    0.15
2F6RA       281      XRAY        1.700    0.18    0.21
6EHIA       162      XRAY        1.580    0.20    0.25
5YSNA       453      XRAY        2.000    0.17    0.19
4N7ZB        58      XRAY        2.850    0.24    0.26
1F2TA       149      XRAY        1.600    0.19    0.23
6EXPA       104      XRAY        1.930    0.24    0.27
4LDAA       131      XRAY        2.400    0.20    0.23
1EFDN       266      XRAY        1.900    0.22    0.25
2G9WA       138      XRAY        1.800    0.20    0.25
2R6JA       318      XRAY        1.500    0.20    0.23
6BM5A       333      XRAY        1.500    0.15    0.19
4BVXA       215      XRAY        1.600    0.22    0.25
5MDIA       102      XRAY        2.100    0.17    0.21
1EQ2A       310      XRAY        2.000    0.22    0.26
2PK8A       103      XRAY        1.850    0.21    0.24
4QMHA       241      XRAY        1.650    0.16    0.19
3UT4A       134      XRAY        2.030    0.23    0.27
4K35A       771      XRAY        2.000    0.14    0.18
4TZ1A       549      XRAY        1.500    0.10    0.12
3ZFIA       104      XRAY        1.980    0.19    0.23
4EKXA       116      XRAY        1.750    0.19    0.23
3C1AA       315      XRAY        1.850    0.22    0.26
5C0PA       298      XRAY        1.530    0.15    0.16
5OL4A       100      XRAY        1.280    0.12    0.14
1JHSA       188      XRAY        1.900    0.21    0.25
4R81A       206      XRAY        1.500    0.17    0.21
4OWTA       466      XRAY        2.000    0.17    0.20
1BM8A        99      XRAY        1.710    0.20    0.26
3FJSA       114      XRAY        1.900    0.18    0.22
3D79A       179      XRAY        1.730    0.21    0.23
4V0WB        44      XRAY        1.550    0.17    0.20
5CG5A       355      XRAY        1.400    0.20    0.22
1ZOQC        47      XRAY        2.370    0.21    0.23
5IQJA       134      XRAY        1.900    0.18    0.23
4G6VB       111      XRAY        2.640    0.21    0.24
5CJZA       626      XRAY        1.800    0.18    0.21
1WD5A       208      XRAY        2.000    0.20    0.23
4ZRSA       306      XRAY        2.000    0.15    0.20
3K59A       786      XRAY        1.920    0.20    0.20
3MHSB        96      XRAY        1.890    0.16    0.21
1NZJA       298      XRAY        1.500    0.15    0.17
4WBTA       376      XRAY        1.600    0.15    0.16
1LQVA       193      XRAY        1.600    0.19    0.22
1ZV1A        65      XRAY        1.600    0.21    0.26
5XF9B       242      XRAY        2.580    0.20    0.24
3VK8A       295      XRAY        2.000    0.21    0.23
4BXMA       157      XRAY        2.150    0.17    0.21
2UZ1A       563      XRAY        1.650    0.17    0.19
3BZCA       785      XRAY        2.270    0.29    0.27
3GWQA       426      XRAY        2.000    0.17    0.20
2GYSA       419      XRAY        2.700    0.21    0.27
3JQOB       135      XRAY        2.600    0.23    0.26
1V5IB        76      XRAY        1.500    0.18    0.19
2WOYA       356      XRAY        1.500    0.18    0.21
3TEWA       715      XRAY        1.450    0.19    0.22
3BPQA        52      XRAY        2.200    0.24    0.27
4GWGA       484      XRAY        1.390    0.17    0.19
4QPMA       356      XRAY        2.200    0.23    0.27
5NLYA       405      XRAY        2.000    0.21    0.23
2WBFX       265      XRAY        1.600    0.15    0.18
2JJUA       127      XRAY        1.190    0.14    0.16
4HTPA       240      XRAY        2.250    0.20    0.25
2YFOA       720      XRAY        1.350    0.12    0.14
5MWNA       315      XRAY        2.200    0.20    0.22
4CI9A       455      XRAY        1.580    0.17    0.19
5U9NA       151      XRAY        2.400    0.23    0.26
2QV3A       457      XRAY        2.400    0.18    0.22
2NQ3A       173      XRAY        1.800    0.16    0.20
4HBSA       416      XRAY        2.800    0.19    0.21
5UE1A       234      XRAY        1.140    0.13    0.16
3FZYA       234      XRAY        1.950    0.17    0.22
2HDOA       209      XRAY        1.500    0.18    0.21
4DNHA       396      XRAY        2.500    0.18    0.24
3CX5D       248      XRAY        1.900    0.24    0.26
6FC3B        52      XRAY        1.750    0.18    0.22
4KP3E        43      XRAY        2.410    0.20    0.24
4O5JA       461      XRAY        2.200    0.14    0.16
2GXQA       207      XRAY        1.200    0.14    0.17
1J24A       143      XRAY        1.780    0.21    0.25
4LZXB        40      XRAY        1.500    0.15    0.19
5C22A       279      XRAY        2.300    0.23    0.26
5GV3A       169      XRAY        2.100    0.27    0.31
2POCA       367      XRAY        1.800    0.17    0.21
3PPMA       573      XRAY        1.780    0.15    0.18
1HI9A       274      XRAY        2.400    0.23    0.27
3KEYA       185      XRAY        2.100    0.24    0.25
5LB3B       445      XRAY        1.800    0.20    0.23
3H0OA       240      XRAY        1.400    0.18    0.20
4GJZA       235      XRAY        1.050    0.15    0.16
5K2LA        49      XRAY        1.200    0.14    0.18
5I4AA       642      XRAY        1.950    0.22    0.24
3AXBA       448      XRAY        1.920    0.19    0.20
3ODTA       313      XRAY        1.350    0.14    0.18
2GXGA       146      XRAY        1.450    0.22    0.24
2HOXA       427      XRAY        1.400    0.17    0.20
5A6MA       409      XRAY        1.170    0.12    0.14
1FJRA       195      XRAY        2.300    0.21    0.23
5H0QA       202      XRAY        1.500    0.18    0.22
3TOWA       152      XRAY        1.340    0.17    0.19
3MHSE        96      XRAY        1.890    0.16    0.21
5I0YA       160      XRAY        1.400    0.19    0.21
1DTDB        61      XRAY        1.650    0.19    0.23
3U3ZA       199      XRAY        1.500    0.13    0.17
5UZXA       245      XRAY        1.500    0.17    0.20
3EC3A       250      XRAY        1.920    0.19    0.24
5B66J        40      XRAY        1.850    0.16    0.20
3ZOJA       279      XRAY        0.880    0.10    0.11
4X8WH        48      XRAY        2.650    0.21    0.25
3KZTA       143      XRAY        2.100    0.22    0.27
5LHXA        93      XRAY        1.530    0.17    0.21
2HY5A       130      XRAY        1.720    0.20    0.21
4TQGA       323      XRAY        2.200    0.20    0.23
3D00A       191      XRAY        1.900    0.23    0.27
3D4UB        74      XRAY        1.700    0.16    0.17
2FCOA       200      XRAY        1.400    0.22    0.23
2WM3A       299      XRAY        1.850    0.17    0.20
3O2IA       125      XRAY        2.200    0.20    0.25
5ABSA        66      XRAY        1.740    0.25    0.28
1SDOA       203      XRAY        1.850    0.22    0.24
4ZD6A       227      XRAY        1.600    0.18    0.21
4FZQA        79      XRAY        2.500    0.26    0.28
3LMZA       257      XRAY        1.440    0.15    0.18
2OXGB       124      XRAY        1.400    0.17    0.19
3FOUA       156      XRAY        2.100    0.20    0.25
5TVOA       284      XRAY        1.480    0.16    0.20
2QFEA       148      XRAY        1.450    0.19    0.21
5KZZA       127      XRAY        1.330    0.16    0.19
4IRFA       156      XRAY        1.650    0.22    0.23
1RJDA       334      XRAY        1.800    0.18    0.21
4ASMB       363      XRAY        1.500    0.16    0.19
4HNOA       288      XRAY        0.920    0.13    0.14
4DV8A       526      XRAY        1.630    0.18    0.20
4NQ0A       393      XRAY        2.100    0.23    0.24
2Z0XA       158      XRAY        1.640    0.16    0.19
1UUJA        88      XRAY        1.750    0.19    0.25
2GRRB       170      XRAY        1.300    0.20    0.22
1YOZA       116      XRAY        2.000    0.23    0.30
3C8DA       403      XRAY        1.800    0.15    0.19
1KDGA       546      XRAY        1.500    0.14    0.17
5HGZA       243      XRAY        1.380    0.18    0.19
1DUNA       134      XRAY        1.900    0.16    0.21
2RAEA       207      XRAY        2.200    0.23    0.25
4X4WA       416      XRAY        1.900    0.16    0.20
5NOHA       103      XRAY        1.800    0.17    0.21
5ZHZA       258      XRAY        1.180    0.14    0.16
2GUDA       122      XRAY        0.940    0.14    0.16
3ULJA        90      XRAY        1.060    0.12    0.14
6CUMA       315      XRAY        1.600    0.18    0.21
3LBXA       161      XRAY        2.800    0.27    0.30
2PG3A       232      XRAY        2.400    0.19    0.22
1RO7A       259      XRAY        1.800    0.22    0.25
1O6DA       163      XRAY        1.660    0.23    0.26
2F5GA       133      XRAY        1.700    0.21    0.23
3RJOA       419      XRAY        2.300    0.20    0.26
4U4EA       383      XRAY        2.200    0.17    0.22
2C1LA       358      XRAY        1.900    0.19    0.22
4Y2FA       149      XRAY        1.400    0.18    0.20
5FLYA       282      XRAY        1.600    0.19    0.22
2OD6A       110      XRAY        1.850    0.20    0.23
4KNKA       225      XRAY        1.120    0.12    0.14
1SFSA       240      XRAY        1.070    0.10    0.14
2DGKA       452      XRAY        1.900    0.22    0.25
1WLGA       299      XRAY        1.800    0.19    0.24
1SKVA        69      XRAY        2.600    0.23    0.27
1V72A       356      XRAY        2.050    0.22    0.24
5DMDA       151      XRAY        1.450    0.21    0.24
2W2XC       124      XRAY        2.300    0.24    0.29
2XP1A       178      XRAY        2.200    0.23    0.27
1CXZB        86      XRAY        2.200    0.21    0.27
2F4MB        61      XRAY        1.850    0.19    0.24
5L16A       398      XRAY        1.880    0.17    0.21
5F18A       256      XRAY        2.000    0.18    0.22
2XSDC       164      XRAY        2.050    0.20    0.23
3KE6A       399      XRAY        2.600    0.21    0.27
5H3XA       267      XRAY        2.100    0.22    0.24
1GAKA       141      XRAY        1.850    0.23    0.25
2GJ2A        85      XRAY        2.350    0.23    0.28
1S5UA       138      XRAY        1.700    0.20    0.23
5EIKA       258      XRAY        2.300    0.21    0.25
4OV8A       476      XRAY        2.150    0.21    0.24
5GI7A       215      XRAY        1.200    0.15    0.17
3RQBA       275      XRAY        2.800    0.18    0.26
5HMLA       272      XRAY        1.480    0.14    0.20
5YADA        75      XRAY        1.760    0.18    0.22
5HBPA       127      XRAY        1.500    0.17    0.18
4R6IA       478      XRAY        2.650    0.20    0.25
4DK2A       297      XRAY        1.470    0.18    0.21
5IZLA       616      XRAY        2.720    0.25    0.29
3CQNA       185      XRAY        2.000    0.20    0.27
5G3XA       248      XRAY        1.660    0.15    0.19
2O0AA       298      XRAY        1.600    0.21    0.26
3N75A       715      XRAY        2.000    0.17    0.19
6H9HA       266      XRAY        1.750    0.21    0.24
5GKEA       252      XRAY        2.400    0.19    0.24
2CA6A       386      XRAY        2.200    0.17    0.22
4C92E        93      XRAY        2.300    0.21    0.26
6DLHA       734      XRAY        2.200    0.22    0.25
5BXVB        44      XRAY        2.100    0.16    0.20
2FB5A       205      XRAY        1.990    0.18    0.21
3LMAA       347      XRAY        1.990    0.17    0.21
4RPMA       406      XRAY        1.400    0.19    0.20
3ETOA       242      XRAY        2.000    0.21    0.25
3HJHA       483      XRAY        1.950    0.21    0.26
1CR1A       296      XRAY        2.300    0.24    0.29
4EI7A       389      XRAY        1.900    0.18    0.24
4U12A        94      XRAY        1.940    0.22    0.25
2WYAA       460      XRAY        1.700    0.16    0.18
2ZNRA       178      XRAY        1.200    0.15    0.17
3X0TA       119      XRAY        1.170    0.13    0.17
5UN7A       308      XRAY        2.100    0.18    0.22
2OB0A       170      XRAY        1.800    0.17    0.20
4RI6A       215      XRAY        1.520    0.15    0.18
1UADC        99      XRAY        2.100    0.22    0.25
4LOXA       302      XRAY        1.980    0.19    0.28
4RAYA       145      XRAY        1.550    0.18    0.21
5AE0A       221      XRAY        1.040    0.13    0.16
1M4LA       307      XRAY        1.250    0.10    0.14
3DSSA       331      XRAY        1.800    0.15    0.19
4XP7A       346      XRAY        1.900    0.17    0.21
3SZ3A       341      XRAY        1.500    0.16    0.18
1ZK5A       176      XRAY        1.400    0.19    0.20
